,ID,Number of cycles,Total strain amplitude,Max. strain,Plastic strain amplitude,Elastic strain amplitude
0,1.0,400.0,0.8,0.8,0.55,0.25
1,1.0,750.0,0.75,0.75,0.5,0.25
2,1.0,3217.0,0.5,0.5,0.29,0.21000000000000002
3,1.0,5104.0,0.4,0.4,0.2,0.2
4,1.0,39862.0,0.3,0.3,0.12,0.18
5,1.0,58460.0,0.2,0.2,0.04,0.16
8,2.0,4880.21244741096,0.7,0.7,0.445220826763106,0.254779173236894
9,2.0,8310.719780538187,0.7,0.7,0.450641815952815,0.24935818404718496
10,2.0,8353.395005161417,0.6,0.6,0.374304877177347,0.22569512282265297
11,2.0,13307.934210534233,0.5,0.5,0.28788655823849,0.21211344176150998
12,2.0,13756.150801291,0.6,0.6,0.371596051325906,0.22840394867409397
13,2.0,19531.773947842867,0.5,0.5,0.290226579503434,0.209773420496566
14,2.0,55124.90853428326,0.3,0.3,0.117998621045347,0.182001378954653
15,2.0,88619.97614835603,0.3,0.3,0.122705691570281,0.177294308429719
18,3.0,9677.50111499483,0.7,0.7,0.452185579878319,0.24781442012168098
19,3.0,15780.0694056837,0.7,0.7,0.426005937411741,0.273994062588259
20,3.0,22705.6322939298,0.6,0.6,0.408774834494124,0.19122516550587598
21,3.0,28021.5158461472,0.5,0.5,0.357853172146994,0.14214682785300597
22,3.0,37023.6540653023,0.6,0.6,0.266803779484807,0.333196220515193
23,3.0,50615.292222245,0.5,0.5,0.269263046598898,0.230736953401102
24,3.0,177811.874729126,0.3,0.3,0.091195405561229,0.20880459443877097
25,3.0,202651.995398832,0.3,0.3,0.0813136085839805,0.21868639141601948
28,4.0,5508.823457418761,0.85,0.85,0.6233129167402361,0.22668708325976383
29,4.0,8571.387481322941,0.85,0.85,0.49260245725241514,0.35739754274758484
30,4.0,11380.479856655335,0.7,0.7,0.4183331669712214,0.28166683302877854
31,4.0,13593.28392108223,0.6,0.6,0.36587611160608974,0.23412388839391024
32,4.0,16087.172371489785,0.55,0.55,0.36584848571652434,0.1841515142834757
33,4.0,21863.37680515891,0.55,0.55,0.24160562890545237,0.3083943710945477
34,4.0,25256.40410436142,0.4,0.4,0.23230490556483607,0.16769509443516395
35,4.0,37993.71604493628,0.4,0.4,0.18061902229377355,0.21938097770622647
36,4.0,44288.474695693294,0.3,0.3,0.14229569825558322,0.15770430174441677
37,4.0,54471.24080145894,0.3,0.3,0.14228249835527967,0.15771750164472031
40,5.0,4827.70458148307,0.850674765252467,0.850674765252467,0.57256698724461,0.278107778007857
41,5.0,10053.0435181918,0.703946011405056,0.703946011405056,0.420023384891596,0.28392262651345995
