,ID,Number of cycles,Stress amplitude (MPa),Max. stress (MPa),Composition,Processing history,Phases,Grain size (um),Tensile YS (MPa),UTS (MPa),Uniform elongation (%),Elongation to failure (%),Tesing temperature (K),R,Frequency (Hz),Testing type,Standard followed,Sample geometry,Sample dimension (mm),Fatigue limit in stress amplitude (MPa),Fatigue limit in max stress (MPa),Corresponding fatigue cycles,Fatigue ratio,Publication date,Reference,Normalized_Stress,log_cycles,Stress_Ratio,Goodman_Adjusted_Stress,Fatigue_Ratio
0,1,93114.33467,562.44104,1249.868977777778,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.4184829166666667,4.9690165444492305,0.1,8030.516825531143,0.285
1,1,34423.19458,560.505485,1245.5677444444445,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.41704277157738096,4.536851171746539,0.1,7653.1759593259,0.285
2,1,117084.27161,560.505485,1245.5677444444445,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.41704277157738096,5.0684985585073195,0.1,7653.1759593259,0.285
3,1,460051.75771,560.505485,1245.5677444444445,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.41704277157738096,5.662806694341059,0.1,7653.1759593259,0.285
4,1,2054330.0,540.44607,1200.9912666666667,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.4021176116071428,6.31267020833012,0.1,5079.126995600733,0.285
5,1,19647.80474,538.33455,1196.299,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.40054654017857144,4.2933140334613835,0.1,4898.556104562596,0.285
6,1,44791.01347,538.33455,1196.299,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.40054654017857144,4.6511908891794285,0.1,4898.556104562596,0.285
7,1,381995.55231,537.278795,1193.9528777777775,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.39976100818452376,5.582058306318857,0.1,4812.506163300838,0.285
8,1,422654.43395,518.275135,1151.722522222222,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.3856213802083333,5.625985429398071,0.1,3622.690444509791,0.285
9,1,101353.28034,517.21938,1149.3763999999999,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.38483584821428574,5.005837809373439,0.1,3571.729465080285,0.285
10,1,92287.01983,516.16362,1147.0302666666666,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.38405031250000005,4.965140621799218,0.1,3521.9822535171215,0.285
11,1,298417.60945,516.16362,1147.0302666666666,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.38405031250000005,5.474824447022203,0.1,3521.9822535171215,0.285
12,1,57849.64139,495.048445,1100.1076555555555,Al0.5CoCrCuFeNi,Arc-melted + cast + homogenized (1273 K & 6 h) + water quenched + cold-rolled,2 FCC,,1284.0,1344.0,,7.6,RT,0.1,10,Bending,,Retangular bar,25×3×3,383,851,10000000.0,0.285,2015-10-15 00:00:00,"Hemphill, M.A., Yuan, T., Wang, G.Y., Yeh, J.W., Tsai, C.W., Chuang, A. and Liaw, P.K., 2012. Fatigue behavior of Al0. 5CoCrCuFeNi high entropy alloys. Acta Materialia, 60(16), pp.5723-5734.
Tang, Z., Yuan, T., Tsai, C.W., Yeh, J.W., Lundin, C.D. and Liaw, P.K., 2015. Fatigue behavior of a wrought Al0. 5CoCrCuFeNi two-phase high-entropy alloy. Acta Materialia, 99, pp.247-258.",0.3683396168154762,4.762300671104072,0.1,2728.0278583387726,0.285
